hablo,parler(1 p.s-presente indicativo)
hablas,parler(2p.s-presente indicativo)
habla,parler(3p.s-presente indicativo)
hablamos,parler(1 p.p-presente indicativo)
habláis,parler(2 p.p-presente indicativo)
hablan,parler(3 p.p-presente indicativo)
aprendo,apprendre(1 p.s-presente indicativo)
aprendes,apprendre(2p.s-presente indicativo)
aprende,apprendre(3p.s-presente indicativo)
aprendemos,apprendre(1 p.p-presente indicativo)
aprendéis,apprendre(2 p.p-presente indicativo)
aprenden,apprendre(3 p.p-presente indicativo)
vivo,vivre(1 p.s-presente indicativo)
vivis,vivre(2p.s-presente indicativo)
vivi,vivre(3p.s-presente indicativo)
vivimos,vivre(1 p.p-presente indicativo)
vivís,vivre(2 p.p-presente indicativo)
vivin,vivre(3 p.p-presente indicativo)
